JudgeFullName,Summary
Chris Barbera," |  | Insufficient data available to create a comprehensive technical profile of Chris Barbera's research expertise.  Multiple individuals with this name were identified in various fields, but none matched the criteria for a researcher with publicly accessible work.  Further information or clarification is required."
Marjory Baruch," |  | 1. Technical Expertise: Based on available information, Marjory Baruch's technical expertise appears to lie primarily in teaching computer science and mathematics, particularly introductory computing and computer graphics.  More detailed information on specific methodologies and techniques used in her research is unavailable from the current search results.

2. Research Applications:  No patents or specific practical applications of her research are readily apparent from the provided data. Her work seems focused on pedagogy and educational techniques within computer science and mathematics.

3. Specialized Knowledge: No unique tools or approaches used in her research are identified in the available sources.

4. Interdisciplinary Impact:  Limited evidence of interdisciplinary connections is present. Her work seems to mainly reside within computer science and mathematics education.

5. Active Projects:  Current research initiatives and grants are not disclosed in the available online resources.  Her current activities appear mainly centered around teaching at Syracuse University and her involvement with the PROMYS program."
Hind BenGabr," |  | 1. Technical Expertise: Based on available information, Hind BenGabr's expertise lies in academic operations and administration within the College of Engineering and Computer Science at Syracuse University.  No evidence of specific research methodologies or techniques used by her was found.

2. Research Applications: No patents or practical applications of research could be identified for Hind BenGabr.

3. Specialized Knowledge:  Her specialized knowledge is in administrative processes and operations within a higher education engineering and computer science setting.

4. Interdisciplinary Impact: No interdisciplinary connections stemming from her own research could be identified.

5. Active Projects:  No current research initiatives or grants associated with Hind BenGabr were found.  Her role does not involve research."
Shelby Bergen," |  | 1. Technical Expertise:  Based on available information, Shelby Bergen's technical expertise is not readily apparent from publicly available sources. While her LinkedIn profile mentions research experience related to Diversity, Equity, Inclusion, and Accessibility (DEIA), the specifics of methodologies or techniques employed are not detailed. Her graduate studies at Syracuse University may involve research, but the nature and specifics remain unclear.

2. Research Applications: No patents or direct practical applications stemming from Shelby Bergen's research activities have been identified in publicly available resources.

3. Specialized Knowledge:  No specialized equipment, tools, or unique approaches used in research are evident from the information currently accessible.

4. Interdisciplinary Impact:  Her research interests in DEIA suggest a connection between social sciences (e.g., sociology, education) and possibly higher education administration.  However, further details on interdisciplinary collaborations or projects are not available.

5. Active Projects:  Current research initiatives and grant funding information pertaining to Shelby Bergen are not publicly accessible.  Her current role focuses on career advising."
Gabriela Bermudez," |  | 1. **Technical Expertise:** Organic synthesis, asymmetric catalysis, stereochemistry, scalable synthesis,  polypropionate antibiotic synthesis (based on publications).  Methodologies likely include various spectroscopic techniques (NMR, IR, Mass Spectrometry) and chromatographic methods (HPLC, GC).

2. **Research Applications:** Development of scalable and efficient methods for synthesizing complex molecules, particularly those relevant to polypropionate antibiotics.  Potential applications in pharmaceutical development. No patents readily apparent from initial search, further investigation may be needed.

3. **Specialized Knowledge:** Expertise in catalytic asymmetric synthesis, focusing on the creation of specific stereochemical configurations. Likely uses advanced analytical instrumentation for structural elucidation and purity assessment of synthesized compounds.

4. **Interdisciplinary Impact:**  The research has direct implications for medicinal chemistry and pharmaceutical sciences.  Connections to other fields might include materials science (if exploring applications beyond pharmaceuticals) or chemical biology (if investigating interactions with biological systems).

5. **Active Projects:**  Currently unclear from readily available information.  Further investigation is needed to identify active grants and projects.  Her ResearchGate profile may provide updated information.  Her past work at Stony Brook University suggests a focus on organic synthesis and asymmetric catalysis."
Shobha K. Bhatia,"Use of synthetics and natural products in mitigating soil erosion and soil; Dewatering and containment of dredged sediments and waste; Use of recycle materials in civil infrastructures; Women in science and engineering; Dr. Bhatia’s current research efforts focus on the testing, development, design, and innovative use of sustainable natural and polymeric materials for the protection of water quality. In the area of soil erosion, a significant issue that can negatively impact surface water quality, Dr. Bhatia has worked extensively to develop methods to reduce stream bank erosion, evaluate the properties and performance of erosion control products, and develop new, innovative products to minimize soil erosion. Using a multidisciplinary collaborative approach, Dr. Bhatia has worked closely with manufacturers, national and international agencies, and research centers in the development of sustainable solutions for soil erosion issues. Recently, Dr. Bhatia worked on a research project to assess stream restoration methods to reduce stream bank erosion in the Catskill Mountains. Dr. Bhatia has also performed research to evaluate the technical, political, and cultural aspects of the use of natural erosion control materials (coir and jute) in India and the United States. Dr. Bhatia has also established unique testing facilities at Syracuse University to test erosion control products.; Dr. Bhatia has also worked extensively on the development of sustainable materials and methods to dewater dredged sediment, a significant and urgent issue in the US and around the world. Dr. Bhatia is currently investigating the dewatering performance of twenty-five different dredged sediments from water bodies in the US using polymeric and natural flocculants and polymeric and natural fiber geotextiles. Bench-scale, pilot-scale, and large-scale tests will be conducted to evaluate the interaction between sediments, flocculants, and geotextiles. Unique testing facilities have been developed at Syracuse University to characterize the sediments and flocculants. A model will be developed incorporating the sediments, flocculants, geotextiles, and filter-cake characteristics to predict geotextile performance. The systematic study will explore the use of environmentally-friendly flocculants and geotextiles in dewatering and containing dredged sediments and also provide a framework for evaluating the effectiveness of chemically-conditioned sediment dewatering using geotextile tubes. The wealth of data that will be generated will allow for the thorough evaluation of existing test methods, the development of new test standards (in consultation with an industrial advisory board), and the creation of a model to verify results. Dr. Bhatia is also working extensively with industry and international researchers on the development of geotextile tubes for dewatering fly ash.; Dr. Bhatia has also been extensively involved in engineering education. She is co-director of the Women in Science and Engineering (WiSE) initiative at Syracuse University. She is a Co PI of the National Science Foundation funded project SUADVANCE. |  | 1. Technical Expertise:  Shobha K. Bhatia's expertise lies in geotechnical engineering, with a focus on sustainable natural and polymeric materials. Her methodologies include testing, development, design, and innovative use of these materials.  Specific techniques involve analyzing heavy metal absorbance capabilities of natural fibers, exploring geotextile dewatering technology, and investigating the properties and performance of sustainable natural fibers (wood, straw, coconut, jute) for erosion control. She uses molecular dynamic simulations to study interactions between biopolymers and other materials.  Her research also includes the use of centrifuge testing to evaluate geotextile tube dewatering performance and analysis of reinforced embankments.

2. Research Applications:  Her research focuses on practical applications in areas such as erosion control, heavy metal remediation using geotextiles, and sustainable construction materials. While specific patents weren't readily identified, her work on innovative geotextiles and natural fiber applications holds potential for patenting.  Her research has clear implications for environmental remediation and sustainable infrastructure development.

3. Specialized Knowledge:  Dr. Bhatia utilizes specialized equipment for testing geotechnical materials, including potentially centrifuge testing apparatus for evaluating geotextile performance. Her unique approach involves integrating sustainable and natural materials into geotechnical engineering solutions.  Her knowledge base includes both traditional geotechnical testing and advanced computational techniques like molecular dynamic simulations.

4. Interdisciplinary Impact: Her research connects geotechnical engineering with environmental science (sustainability, remediation), materials science (natural and polymeric materials), and potentially social sciences (considering social impacts of engineering projects).

5. Active Projects:  While specific current grant details weren't explicitly found, her university webpage and ResearchGate profile indicate ongoing research involving sustainable materials in geotechnical engineering, particularly focusing on geotextiles and natural fibers.  She is actively publishing and presenting her research findings."
Michael Blatchley,"4D Biomaterials; Organoids; Vascularization; Extracellular Matrix; Tissue Morphogenesis; My lab’s research focuses on constructing benchtop models of human tissues. We’re really interested in understanding the “rules of life” for how tissues form, so we can use that knowledge to improve the biomimicry of our engineered tissue models to understand the biology of development and disease.; How we do it: We do this by first mining existing datasets and using advanced imaging tools to further our understanding of homeostatic or pathological characteristics of tissue-specific microenvironments. We then take that knowledge, decide what parameter(s) we want to investigate, and engineer inquiry-specific microenvironments using synthetic hydrogels. Some projects focus on how altered initial conditions (e.g., matrix stiffness or viscoelasticity, integrin binding, extracellular matrix composition, and cell composition) impact morphogenesis. Other projects focus on the role of spatiotemporal dynamics of the extracellular microenvironment in shaping growing tissues. For this work, we use light-tunable materials to alter the properties of our synthetic microenvironments, in order to guide morphogenesis. |  | 1. Technical Expertise:  Tissue engineering, 4D biomaterials, organoid culture, vascular biology, hydrogel synthesis, cellular and acellular approaches to wound healing, cytokine and growth factor delivery.  Methodologies include benchtop tissue modeling,  characterization of tissues and organs, and co-culture techniques.

2. Research Applications:  Improving diabetic wound healing, developing better models of human development and disease (particularly focusing on gut organoids), understanding blood vessel formation (with implications for new therapies).  No patents directly related to his current biomedical engineering research are readily apparent.

3. Specialized Knowledge: Expertise in constructing benchtop models of human tissues and organs, particularly using organoid culture techniques and synthetic hydrogels.  Proficiency in techniques to characterize tissue structure and function.

4. Interdisciplinary Impact: His work bridges biomedical engineering, molecular and cellular bioengineering, immunology, and potentially other fields relevant to tissue regeneration and disease modeling. His collaborations with the Anseth group suggest expertise in biomaterials chemistry and polymer science.

5. Active Projects: Research focuses on gut organoids, vascular cells, and the use of synthetic hydrogels to study extracellular matrix dynamics in intestinal organoids.  He is an NIDDK K99/R00 Fellow, indicating current funding for his research projects.  Specific grant details may require accessing grant databases such as NIH RePORTER, which is beyond the scope of this current search."
Michelle M. Blum,"Engineering Education; Inquiry Based Learning Methods; Mechanical Characterization of Materials; Tribology & Lubrication | Michelle M. Blum, An Inquiry-Based Introduction to Engineering, Published by Springer, 2022. | 1. Technical Expertise:  Michelle M. Blum's technical expertise lies in the development and characterization of biomaterials, particularly hydrogels for orthopedic applications. Her methodologies include material synthesis, mechanical testing, tribological analysis (friction and wear), and biocompatibility assessments (cell viability studies).  She employs inquiry-based learning in engineering education research.

2. Research Applications: Her research on hydrogels focuses on creating low-friction materials for cartilage repair and other orthopedic applications.  While specific patents aren't readily available through my current searches, a patent application for self-replenishing boundary lubrication in hydrogels is mentioned, indicating potential for practical applications in the biomedical field.

3. Specialized Knowledge: Blum utilizes specialized equipment for material characterization, including tools for mechanical testing (e.g., tensile testing, nanoindentation), tribological testing (e.g., friction and wear testing), and cell culture techniques for biocompatibility assessment.  Her expertise in inquiry-based learning methodology in engineering education is also a specialized area.

4. Interdisciplinary Impact: Her work bridges engineering (materials science, mechanical engineering) and biomedicine (orthopedics, tissue engineering).  Her research on engineering education has implications for pedagogy and educational research.

5. Active Projects:  While specific current grant information isn't directly accessible in the sources analyzed, her ongoing research involves further development of hydrogels for biomedical applications and continuing work in inquiry-based engineering education, evidenced by her publications and affiliations with Syracuse University.  More specific details on current projects would require accessing internal university databases or contacting her directly."
Ed Bogucz," | Bogucz, E.A. “Driving innovations for data-driven built environments,” New York Academy of Sciences, May 30, 2012.; Hercules, J., Bogucz, E.A., Loomis, E., Queeley, D., “Show me the money: Advancing economic development goals with LEED-ND,” EcoDistricts Summit, Boston, Nov. 12, 2013.; Bogucz, E.A, Hollander, H., “The historical heritage of technology in Central New York,” John Edson Sweet Lecture, Technology Alliance of Central New York, Onondaga Community College, Dec. 10, 2013.; Bogucz, E.A., “Clean air for China, exported from New York: A case study in accelerating innovations for advanced buildings,” Advanced Energy 2014, Albany, NY, April 2014.; Bogucz, E.A., “Sustainable buildings—from local to global,” Syracuse University-Nanjing University 3rdForum on Green Buildings and Urban Environments,” Syracuse, NY, Oct. 20, 2015. | 1. Technical Expertise: Computational Fluid Dynamics (CFD), heat transfer, green building design, building automation systems (BAS), indoor environmental quality, energy efficiency of building technologies.  Methodologies include experimental testing, numerical simulation (CFD), and software development.  He has experience with High Performance Fortran and open web services.

2. Research Applications: Development of an open, extensible software and hardware framework for indoor climate control (resulting in a US Patent 7,904,209).  Research focuses on improving energy efficiency and indoor environmental quality in buildings.

3. Specialized Knowledge: Expertise in developing and applying Building Automation Systems (BAS), experience with CFD algorithms and High Performance Fortran for simulations, and a focus on open web services for building control.

4. Interdisciplinary Impact: His work bridges mechanical and aerospace engineering with computer science, software engineering, and architecture (green building design).  His research connects to areas like climate control, energy efficiency, and building automation.

5. Active Projects:  While specific current projects aren't explicitly detailed in readily available sources, his affiliation with Syracuse University, involvement in projects totaling over $60 million, and publications suggest ongoing research in energy-efficient building technologies, indoor environmental quality, and building automation systems.  Further investigation of Syracuse University's research grants database would reveal current projects."
Jesse Q. Bond," |  | 1. Technical Expertise: Heterogeneous catalysis, bio-based fuels and chemicals, energy sustainability, catalytic kinetics, reactor design, biomass processing, reaction engineering, thermodynamics, kinetics, reaction pathways in the amination of secondary alcohols.  Specific methodologies and techniques are not explicitly listed across all sources but implied through his research interests and publications.

2. Research Applications: Development of catalytic materials for improving sustainability in the production of transportation fuels and chemical products; conversion of biomass-derived carbohydrates into liquid alkenes. Patents are mentioned but require further investigation to identify specific numbers and titles.

3. Specialized Knowledge:  The specific equipment and tools used are not explicitly detailed, but his research focuses heavily on catalysis, suggesting use of advanced analytical and characterization tools common in catalysis research (e.g., various spectroscopies, chromatography, reactors).

4. Interdisciplinary Impact:  His work bridges chemical engineering, materials science, and potentially renewable energy/biomass engineering.  Further investigation is needed to specify exact interdisciplinary collaborations.

5. Active Projects:  Information on current research initiatives requires further investigation of his university webpage and grant listings.  One grant referenced is NSF CAREER Award #1454346, focused on developing governing principles for catalytic reactions.  Other grants can be discovered by exploring the links previously identified."
Kathryn Bradford," |  | 1. **Technical Expertise:**  Based on her publications and affiliations (primarily with the Donald Kohn Lab at UCLA, focused on gene therapy and pediatric hematology/oncology), Kathryn Bradford's expertise includes gene editing techniques (e.g., lentiviral gene transfer),  pharmacokinetics analysis (specifically of Busulfan in gene therapy contexts), and research into rare immunodeficiencies (like ADA-SCID and CVID).  Her work involves preclinical and clinical research, encompassing in-vivo studies and analysis of patient data.

2. **Research Applications:** Her research directly translates to the development of novel gene therapies for the treatment of severe combined immunodeficiency (SCID) and other primary immunodeficiencies.  While patents are not explicitly mentioned in readily available sources, her research contributes significantly to the advancement of gene therapy as a treatment modality.

3. **Specialized Knowledge:**  Her work leverages specialized equipment and techniques associated with gene therapy and cellular immunology, including lentiviral vector production,  flow cytometry, cell culture and manipulation, and genomic sequencing.  Her affiliation with the Kohn Lab suggests access to state-of-the-art facilities and resources within this specialized field.

4. **Interdisciplinary Impact:**  Her research is highly interdisciplinary, drawing from molecular biology, immunology, genetics, pharmacology, and clinical medicine.  Collaborations with various specialists across these fields are implied by the authorship of her publications.

5. **Active Projects:**  While specific current grant information may require additional research beyond easily accessible web pages, her ongoing affiliation with the Kohn Lab and her recent publications suggest active involvement in research projects related to gene therapy for primary immunodeficiencies.  Her participation in conferences and presentations indicates an active research portfolio."
Thomas E. Braga," |  | 1. **Technical Expertise:**  Extensive experience in experimental machining, encompassing CNC machining (mills and lathes), 3D printing, laser cutting, water jet cutting, and welding.  His role as a Senior Experimental Machinist suggests proficiency in various fabrication techniques and materials.

2. **Research Applications:**  While not directly leading academic research, Thomas E. Braga's skills are crucial to supporting research projects within the Syracuse University College of Engineering and Computer Science. His expertise enables the creation of prototypes, testing of devices, and the fabrication of components for research initiatives.  No patents are directly linked to his name in readily available online sources.

3. **Specialized Knowledge:**  Proficiency in operating and maintaining a range of advanced machining equipment, including CNC mills and lathes, along with additive manufacturing (3D printing) and subtractive manufacturing techniques (laser cutting, water jet cutting). Expertise in various welding processes is also implied.  His experience extends to providing engineering consultation and training to undergraduates.

4. **Interdisciplinary Impact:**  His work indirectly supports research across multiple engineering disciplines within the College of Engineering and Computer Science at Syracuse University. His skills are valuable to researchers in fields such as mechanical engineering, aerospace engineering, and potentially others depending on the projects he supports.

5. **Active Projects:**  Specific active projects are not publicly listed. However, his position indicates ongoing involvement in numerous research and educational projects within the ECS department at Syracuse University.  Information about funding grants associated with his work is not readily available online."
Tim Breen," |  | Insufficient information provided to complete the request.  The search results reveal multiple individuals named Tim Breen with diverse backgrounds.  To provide a comprehensive profile of Tim Breen's technical expertise, please specify his department, university, or other identifying details."
Cynthia M. Bromka-Skafidas," |  | Based on the available online information, Cynthia M. Bromka-Skafidas's role is primarily administrative, and there is no evidence of research activities or publications to analyze.  Therefore, I cannot provide a technical expertise profile as requested.  The provided search results do not support the creation of a profile outlining methodologies, tools, patents, interdisciplinary connections, or active research projects."
